Index;CocaCola;Citigroup;Walmart;Nike
25/08/2008;26.785;176.100006;58.549999;14.9275
26/08/2008;26.76;178.399994;59;14.73
27/08/2008;26.895;181.199997;59.290001;14.9175
28/08/2008;26.559999;190.800003;59.880001;15.305
29/08/2008;26.035;189.899994;59.07;15.1525
02/09/2008;25.98;191.100006;59.650002;15.295
03/09/2008;25.83;196.100006;59.790001;15.4775
04/09/2008;25.855;183;59.779999;14.935
05/09/2008;25.965;190.699997;60.740002;14.705
08/09/2008;26.690001;203.199997;62;15.0825
09/09/2008;26.940001;188.800003;61.130001;15.07
10/09/2008;26.905001;186.800003;62.02;14.9675
11/09/2008;27.075001;186.100006;63.169998;15.2425
12/09/2008;27.25;179.600006;62.41;15.48
15/09/2008;27.375;152.399994;61.630001;15.125
16/09/2008;27.424999;157.5;62.139999;15.2975
17/09/2008;26.33;140.300003;59.639999;14.89
18/09/2008;26.695;166.5;61.48;16.16
19/09/2008;26.360001;206.5;59.700001;15.925
22/09/2008;25.690001;200.100006;58.889999;15.7875
23/09/2008;25.34;199.899994;58.400002;15.2075
24/09/2008;25.094999;189.600006;58.919998;14.8175
25/09/2008;25.73;194.100006;60.119999;16.252501
26/09/2008;26.24;201.5;60.709999;16.9475
29/09/2008;25.514999;177.5;58.450001;16.262501
30/09/2008;26.440001;205.100006;59.889999;16.725
01/10/2008;27.08;230;59.66;16.540001
02/10/2008;26.799999;225;58.849998;15.9375
03/10/2008;26.285;183.5;59.73;15.8125
06/10/2008;25.459999;174.100006;57.900002;15.285
07/10/2008;24.65;151.5;54.84;14.495
08/10/2008;23.705;144;54.549999;13.925
09/10/2008;21.65;129.300003;51.389999;13.27
10/10/2008;20.75;141.100006;50.950001;13.6325
13/10/2008;23.629999;157.5;54.5;13.9625
14/10/2008;21.865;186.199997;54.439999;14.28
15/10/2008;22.105;162.300003;50.049999;12.59
16/10/2008;22.889999;159;54.619999;13.9925
17/10/2008;22.1;148.800003;53.77;14.37
20/10/2008;23.23;150.899994;54.43;14.9375
21/10/2008;23.014999;141.800003;53.669998;14.28
22/10/2008;22.690001;133.199997;52.27;13.125
23/10/2008;21.530001;131.100006;52.759998;12.6825
24/10/2008;20.805;121.400002;51.400002;11.9475
27/10/2008;20.504999;117.300003;49.669998;11.6375
28/10/2008;22.625;134.100006;55.169998;13.105
29/10/2008;21.924999;129.100006;55.02;13.12
30/10/2008;22.33;131.100006;54.75;13.9525
31/10/2008;22.030001;136.5;55.810001;14.4075
03/11/2008;22.725;139.899994;55.970001;13.96
04/11/2008;23.014999;146.800003;56.130001;14.055
05/11/2008;22.365;126.300003;54.130001;13.195
06/11/2008;22.245001;115.199997;53.490002;12.66
07/11/2008;23.125;118.199997;54.389999;12.3525
10/11/2008;22.950001;112.099998;55.18;11.9925
11/11/2008;22.219999;108;54.75;11.4175
12/11/2008;21.915001;96.400002;52.619999;11.0925
13/11/2008;23.139999;94.5;54.93;12.215
14/11/2008;22.51;95.199997;52.709999;11.6325
17/11/2008;21.985001;88.900002;51.810001;11.5775
18/11/2008;21.745001;83.599998;52.720001;11.66
19/11/2008;21.135;64;51;10.96
20/11/2008;20.535;47.099998;50.66;10.9025
21/11/2008;22;37.700001;52.919998;11.97
